,NezPerces,Shoshone,Idaho,Washington,Boise,Ada,Owyhee,Alturas,Cassia,Lemhi,Custer,Oneida,Kootenai,BearLake
NezPerces,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Shoshone,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Idaho,1,1,0,1,1,0,0,0,0,1,1,0,0,0
Washington,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Boise,0,0,1,1,0,1,0,1,0,0,1,0,0,0
Ada,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Owyhee,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Alturas,0,0,0,0,1,1,1,0,1,1,1,1,0,0
Cassia,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Lemhi,0,0,1,0,0,0,0,1,0,0,1,1,0,0
Custer,0,0,1,0,1,0,0,1,0,1,0,0,0,0
Oneida,0,0,0,0,0,0,0,1,1,1,0,0,0,1
Kootenai,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BearLake,0,0,0,0,0,0,0,0,0,0,0,1,0,0
